name,price,category,sizes,stock,image_filename,,
Nike Air Max 90 Supreme Shoes Men,28999,Sneakers,"6,7,8,9,10",6,Nike Air Max 90 Premium Light Smoke Grey DA1641-001.jpg,,
Nike Cortez Classic Leather Shoes Men,30999,Sneakers,"6,7,8,9,10",7,Nike Cortez Leather Shoes - White.jpg,,
Nike Cortez Premium Shoes Women,33999,Sneakers,"6,7,8,9,10",5,Nike Cortez Leather Women's Shoes (Sail).jpg,,
Nike Cortez Luxury Shoes Women,26999,Sneakers,"6,7,8,9,10",8,Nike Cortez Women's Shoes (1).jpg,,
Nike Cortez Classic Collection Women,25999,Sneakers,"6,7,8,9,10",6,Nike Cortez Women's Shoes.jpg,,
Nike Cortez Vintage Casual Women,34999,Sneakers,"6,7,8,9,10",7,Women's Nike Cortez Vintage Suede Casual Shoes.jpg,,
Nike Court Vision Premium Women,29999,Sneakers,"6,7,8,9,10",5,Nike Court Vision Low Women's Shoes.jpg,,
Nike Court Vision Cool Women,32999,Sneakers,"6,7,8,9,10",8,Nike Women's Court Vision Low Next Nature Shoes, Elemental Pink_White, 11_5.jpg
Nike Court Vision Luxury Women,31999,Sneakers,"6,7,8,9,10",6,Nike Women's Court Vision Low Nubuck Shoes, Phantom_White, 10.jpg
Nike Air Force 1 Supreme Women,28999,Sneakers,"6,7,8,9,10",7,Nike Women's Air Force 1 Sneakers, Pink Foam_White_Hot Lava, 9_5 Medium US.jpg
PUMA Classic Palermo Women,35999,Sneakers,"6,7,8,9,10",5,PUMA Palermo Women's Sneakers, Pink, 9.jpg
PUMA Palermo Premium Shoes Unisex,38999,Sneakers,"6,7,8,9,10",8,PUMA Chaussures Palermo - Vert_jaune, pointure 42½.jpg,
PUMA Suede Classic Vintage,99999,Sneakers,"6,7,8,9,10",6,PUMA 2014 Spring_Summer Suede Classic+.jpg,,
Nike Killshot Classic Tennis Shoes,37999,Sneakers,"6,7,8,9,10",7,Inspired by our original tennis shoe, the Killshot 2 gets refreshed with seasonal colors that are easy to style_ Its low-profile design and smooth leather create a retro feel_.jpg,
Nike Killshot Premium Tennis Shoes,24999,Sneakers,"6,7,8,9,10",5,Inspired by our original tennis shoe, the Killshot 2 gets refreshed with soft suede and smooth leather_ A gum rubber outsole adds a retro touch that is as durable as it is comfortable_.jpg,
Nike Killshot Luxury Classic Shoes,28999,Sneakers,"6,7,8,9,10",8,Inspired by our original tennis shoe, the Killshot 2 gets refreshed with soft suede and smooth leather_ A gum rubber outsole adds a retro touch that is as durable as it is comfortable_ (1).jpg,
Nike AJ1 Premium Shoes Men,31999,Sneakers,"6,7,8,9,10",6,An iconic look that lasts_ This AJ1 pairs the classic design of the original with premium materials that will keep you going all day_.jpg,,
Premium Fashion Sandals Women,33999,Sandles,"6,7,8,9,10",6,FREE ONGKIR SANDAL WANITA KARET JELLY MODEL SLIP ON HAK 4 CM MODEL TRENDY TERKINI DAN KOREA STYLE.jpg,,
Classic Jelly Sandals Women,26999,Sandles,"6,7,8,9,10",7,download (58).jpg,,
Trendy Summer Sandals Women,25999,Sandles,"6,7,8,9,10",5,download (59).jpg,,
Fashion Casual Sandals Women,34999,Sandles,"6,7,8,9,10",8,download (60).jpg,,
Premium Party Sandals Women,29999,Sandles,"6,7,8,9,10",6,download (61).jpg,,
